type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 15946641541337269454, id: 222, copy_id: 1, table_id: 322 (set_program_state_31), entry_hdl: 5
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 15946641541337269454, id: 222, copy_id: 1, table_id: 341 (t_link), entry_hdl: 3
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 15946641541337269454, id: 222, copy_id: 1, table_id: 342 (csum16), entry_hdl: 3
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 15946641541337269454, id: 222, copy_id: 1, table_id: 343 (t_resize_pr), entry_hdl: 2
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 15946641541337269454, id: 222, copy_id: 1, table_id: 350 (t_virt_net), entry_hdl: 1
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 6 (parse_control), entry_hdl: 9
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 16 (t_set_first_table), entry_hdl: 9
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 17 (t_set_validbits), entry_hdl: 8
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 38 (t1_stdmeta_exact), entry_hdl: 1
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 20 (t1_stdmeta_ingress_port), entry_hdl: 2
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 52 (set_primitive_metadata_11), entry_hdl: 5
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 88 (t_mod_11), entry_hdl: 7
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 304 (set_program_state_11), entry_hdl: 5
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 43 (t2_extracted_valid), entry_hdl: 3
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 61 (set_primitive_metadata_21), entry_hdl: 5
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 313 (set_program_state_21), entry_hdl: 5
type: TABLE_HIT, switch_id: 1, cxt_id : 0, sig: 3020165711524637346, id: 223, copy_id: 1, table_id: 44 (t3_extracted_exact), entry_hdl: 10
